             mu:           sigma        energy:
       -0.817092        0.608073       -0.440793
       -0.816553        0.609212       -0.441624
       -0.815562        0.608793       -0.444141
       -0.816351        0.609536       -0.445103
       -0.816351        0.609536       -0.440248
        -0.81612        0.610277       -0.441993
       -0.816809        0.609884       -0.443536
       -0.816809        0.609884       -0.442069
       -0.816011        0.609839       -0.443063
       -0.816123        0.609981       -0.444119
       -0.816123        0.609981       -0.442588
       -0.816123        0.609981        -0.44171
       -0.816797         0.61036        -0.44616
       -0.816708        0.610367        -0.44576
       -0.816708        0.610367       -0.443806
       -0.816708        0.610367       -0.438227
       -0.816848        0.610839       -0.440826
       -0.817344        0.610732       -0.444155
       -0.817331        0.610147       -0.444696
       -0.817673         0.61035       -0.444249
       -0.817648         0.61069       -0.446123
       -0.817648         0.61069       -0.439139
       -0.817683        0.611033       -0.445303
       -0.817683        0.611033       -0.444542
       -0.817683        0.611033       -0.442821
       -0.817683        0.611033       -0.442112
       -0.817676        0.610948       -0.445304
       -0.817676        0.610948       -0.444541
       -0.818008        0.610723       -0.445446
       -0.818008        0.610723       -0.443977
       -0.818327        0.610605       -0.448014
       -0.818327        0.610605        -0.44238
       -0.818385        0.610512       -0.443854
       -0.818652        0.610419       -0.445115
       -0.818652        0.610419       -0.443174
       -0.818546        0.610657       -0.443476
       -0.818548        0.610802       -0.443618
       -0.818548        0.610802       -0.438337
       -0.818737        0.610891       -0.440485
       -0.818883        0.611067       -0.444976
       -0.818883        0.611067       -0.441622
       -0.819104        0.610911       -0.443461
       -0.819104        0.610911       -0.440678
       -0.819013        0.610971       -0.444588
       -0.819013        0.610971       -0.443791
       -0.819013        0.610971       -0.438238
       -0.819013        0.610971       -0.437952
       -0.819061         0.61108       -0.445943
       -0.819061         0.61108         -0.4419
       -0.819157        0.610954       -0.447173
       -0.819157        0.610954       -0.444984
       -0.819157        0.610954       -0.439817
       -0.819256        0.611083       -0.440156
       -0.819212        0.611054       -0.444394
       -0.819212        0.611054       -0.442115
       -0.819287        0.610921       -0.447481
       -0.819287        0.610921       -0.442175
       -0.819328        0.610885       -0.443387
       -0.819223        0.610766       -0.444605
       -0.819223        0.610766       -0.442299
       -0.819325        0.610757       -0.442873
       -0.819375        0.610808       -0.446256
       -0.819375        0.610808       -0.444584
       -0.819375        0.610808       -0.442563
       -0.819375        0.610808       -0.441804
       -0.819383        0.610748       -0.443793
       -0.819383        0.610748       -0.439709
       -0.819347        0.610751       -0.445274
       -0.819347        0.610751       -0.437456
       -0.819417        0.610721       -0.442725
       -0.819437        0.610743       -0.447368
       -0.819437        0.610743       -0.446937
       -0.819502        0.610763       -0.448529
       -0.819502        0.610763       -0.440113
       -0.819508        0.610743       -0.444949
       -0.819508        0.610743        -0.43859
       -0.819518        0.610715       -0.444094
       -0.819483        0.610686       -0.444376
       -0.819446         0.61067       -0.445406
       -0.819446         0.61067       -0.438008
