Gen:	<L_2>
1133	70.206
1134	69.9932
1135	70.0926
1136	70.361
1137	70.2807
1138	70.5312
1139	70.5475
1140	70.3191
1141	69.9941
1142	70.0386
1143	70.2049
1144	70.1608
1145	70.2703
1146	70.1138
1147	70.0182
1148	69.9996
1149	70.1019
1150	69.9815
1151	69.9265
1152	69.7461
1153	70.219
1154	70.0626
1155	69.8995
1156	70.3317
1157	69.9276
1158	70.0245
1159	70.0026
1160	70.0278
1161	69.9838
1162	70.0124
1163	69.9105
1164	69.8234
1165	70.1908
1166	70.0764
1167	69.9265
1168	69.9168
1169	70.2238
1170	70.2375
1171	69.5136
1172	68.5876
1173	67.4837
1174	67.1489
1175	66.9098
1176	66.9115
1177	67.097
1178	67.2728
1179	67.1272
1180	67.5042
1181	67.3405
1182	67.3057
1183	67.1452
1184	67.0791
1185	67.4175
1186	66.8817
1187	67.3997
1188	67.235
1189	67.2057
1190	66.9064
1191	67.0007
1192	67.3134
1193	67.0042
1194	67.0451
1195	67.0832
1196	67.0473
1197	67.0042
1198	66.9265
1199	67.1576
1200	66.9471
1201	66.9061
1202	67.0228
1203	66.8678
1204	67.1099
1205	67.1936
1206	66.8686
1207	67.1631
1208	67.3235
1209	67.3608
1210	67.3269
1211	67.1101
1212	67.0494
1213	67.0942
1214	66.8565
1215	67.0643
1216	67.1883
1217	67.0411
1218	67.1297
1219	67.21
1220	67.0501
1221	67.1468
1222	67.1741
1223	67.179
1224	67.2208
1225	67.0664
1226	67.2077
1227	67.3737
1228	67.224
1229	67.2665
1230	67.0999
1231	67.3229
1232	67.2195
1233	67.2826
1234	67.103
1235	67.1808
1236	66.954
1237	67.359
1238	67.0679
1239	67.0776
1240	66.9552
1241	66.9679
1242	67.05
1243	67.1786
1244	67.2312
1245	67.1413
1246	66.9422
1247	67.0387
1248	67.3765
1249	67.2978
1250	67.1402
1251	66.9243
1252	66.8892
1253	67.0405
1254	67.141
1255	67.0737
1256	67.5054
1257	67.2855
1258	67.2225
1259	67.2439
1260	66.8741
1261	67.0806
1262	66.949
1263	66.9196
1264	67.1904
1265	67.2367
1266	67.1326
1267	67.2245
1268	67.274
1269	67.2648
1270	67.4789
1271	67.1304
1272	66.9972
1273	67.1494
1274	67.2691
1275	67.1865
1276	67.2122
1277	67.3833
1278	67.1124
1279	67.3725
1280	67.1371
1281	67.237
1282	67.262
1283	67.2422
1284	67.4395
1285	67.3685
1286	67.1109
1287	67.1419
1288	67.1978
1289	67.0096
1290	67.295
1291	67.3373
1292	67.0782
1293	66.9194
1294	67.109
1295	67.0044
1296	67.0171
1297	67.2735
1298	67.056
1299	67.3999
1300	66.9823
1301	66.9013
1302	67.2629
1303	66.9846
1304	67.1908
1305	67.1522
1306	66.9608
1307	67.2408
1308	66.9445
1309	66.9734
1310	67.1379
1311	67.231
1312	66.883
1313	66.872
1314	66.9333
1315	67.0581
1316	67.0616
1317	66.9599
1318	67.0092
1319	67.1101
1320	66.8645
1321	67.1662
1322	67.0055
1323	66.9807
1324	66.7389
1325	67.2091
1326	67.0028
1327	67.3041
1328	67.0625
1329	67.0519
1330	67.1725
1331	67.259
1332	66.9772
1333	67.0192
1334	67.3148
1335	67.3645
1336	67.0581
1337	67.1216
1338	66.8642
1339	66.8504
1340	67.1178
1341	67.1051
1342	67.1136
1343	67.1468
1344	67.1359
1345	67.0146
1346	67.1668
1347	67.094
1348	66.9843
1349	66.9274
1350	67.1814
1351	66.8602
1352	66.8456
1353	66.9249
1354	67.3309
1355	67.1018
1356	67.1819
1357	66.8479
1358	66.9667
1359	67.1816
1360	67.0983
1361	67.0087
1362	66.9675
1363	66.8375
1364	66.9375
1365	67.1915
1366	67.3265
1367	67.3502
1368	67.4692
1369	67.2333
1370	67.3603
1371	67.0906
1372	67.0231
1373	66.8699
1374	67.1595
1375	66.8944
1376	66.9884
1377	66.9163
1378	66.7865
1379	67.1937
1380	67.0892
1381	66.8078
1382	66.6693
1383	66.4362
1384	66.4385
1385	66.5134
1386	66.482
1387	66.6466
1388	66.6031
1389	66.5575
1390	66.5857
1391	66.8635
1392	66.5673
1393	66.8337
1394	67.1445
1395	66.7851
1396	66.4518
1397	66.7466
1398	66.7168
1399	66.7358
1400	66.4289
1401	66.6953
1402	66.9113
1403	66.7633
1404	66.6569
1405	66.6244
1406	66.767
1407	66.592
1408	66.4439
1409	66.5038
1410	66.6381
1411	66.4609
1412	67.1631
1413	66.817
1414	66.7603
1415	66.708
1416	66.581
1417	66.552
1418	66.8176
1419	66.6618
1420	66.807
1421	67.0237
1422	67.0147
1423	66.7131
1424	66.5165
1425	66.4646
1426	66.6657
1427	66.4493
1428	66.5196
1429	66.5586
1430	66.8421
1431	66.5721
1432	66.6616
1433	66.6629
1434	66.6767
1435	66.5668
1436	66.4416
1437	66.4039
1438	66.872
1439	66.7544
1440	66.6755
1441	66.6796
1442	66.8261
1443	66.6091
1444	66.7789
1445	67.0387
1446	66.6132
1447	66.477
1448	66.6086
1449	66.4711
1450	66.6371
1451	66.5612
1452	66.7327
1453	66.7554
1454	66.6561
1455	66.6227
1456	66.834
1457	66.6251
1458	66.73
1459	66.9176
1460	66.7366
1461	66.7264
1462	66.6544
1463	66.6688
1464	66.4814
1465	66.5989
1466	66.6005
1467	66.6841
1468	66.8259
1469	66.8646
1470	66.8716
1471	66.8566
1472	66.5255
1473	66.7514
1474	66.6773
1475	66.3502
1476	66.766
1477	66.4796
1478	66.338
1479	66.3891
1480	66.2976
1481	66.7384
1482	66.8611
1483	66.6586
1484	66.5301
1485	66.7047
1486	66.5347
1487	66.5124
1488	66.6436
1489	66.534
