x	y	z
0.286038	4.6116	11.0748
3.28597	-1.91523	-1.23865
0	0	-0
0.719254	9.71345	-7.00939
3.47017	0.678587	-1.87015
-3.89106	-0.526448	-0.763237
0.818157	-2.06303	7.686
-1.0425	-2.97931	-7.35098
0.396725	-1.64003	-3.62669
1.78734	-2.54604	2.51457
5.02396	-1.90605	-2.6696
13.0261	16.4239	-6.67668
-3.66986	7.28381	-11.3788
-2.06841	3.84397	-13.3021
-11.3492	7.27787	-3.77194
-5.11769	-1.54399	2.72495
-2.2023	6.93627	-11.9599
-1.51214	-5.59677	19.1413
7.21737	3.45097	-0.017471
5.37761	-5.83854	-0.996402
-0.831274	-8.68354	4.88928
0.971313	1.27015	1.20136
1.66426	9.36485	10.2728
5.65474	3.25997	7.57605
-0	-0	0
-0	-0	-0
-10.5983	1.41316	-14.4803
1.11314	-5.96263	16.9472
-2.61317	4.1607	-3.44382
0	-0	0
4.69481	0.906041	13.1582
3.59051	-1.2809	1.21141
3.23998	2.21014	9.19879
0.68547	-0.354874	3.92482
-0.633274	-4.18224	6.79028
3.83727	1.05338	-0.407125
-0.988683	-1.54906	-11.8585
-7.96304	-0.112405	-0.75989
-5.53947	0.646194	2.21285
3.16433	-0.71015	-2.34151
0	0	-0
-19.1686	-10.2718	-10.1516
2.44516	-0.397655	-5.46471
-5.49952	0.396998	-2.36594
4.35294	1.17798	-21.5329
3.54531	0.399576	-1.80863
2.78153	2.29782	7.14024
-3.05186	7.29733	-1.19794
14.2147	-13.3222	4.52341
-1.20346	-4.40592	-11.0968
0.914785	7.92939	0.536632
0.886601	-3.1337	5.03923
-2.40504	0.277651	9.70251
0.551811	-5.46665	-5.81474
-12.4561	-4.39604	-4.63892
-4.60365	0.88575	6.48242
1.13174	-3.68689	1.06113
0	-0	-0
1.03971	-3.82523	0.535335
0	-0	0
1.47775	-1.18874	0.634932
11.5799	-2.31132	2.13632
-5.7657	1.138	-8.09083
-0	-0	-0
-0.341536	0.408386	3.96441
17.3507	-2.99177	-13.1909
-5.63874	5.9318	-5.74616
0.0165439	-0.20436	-7.99737
-2.57335	5.38729	-0.595821
-0.975641	0.932909	-9.90847
7.70472	8.66504	3.09101
-0.367735	-1.87102	-5.68894
0.987752	3.78286	0.84519
2.7954	1.29049	-2.5535
-10.9312	4.77763	-1.29743
4.42706	5.60881	-3.59755
-0	-0	0
0.812433	-0.518478	3.88216
-0.00814397	0.188834	1.99105
0.845593	0.0482645	-1.81181
0.855139	-1.43133	-1.10455
-5.42565	-2.56169	-0.00767174
0.690356	4.5879	-6.51725
8.65695	-4.32245	-2.5246
7.63544	-0.00549923	2.38747
3.72078	-6.10495	-3.58962
-13.7204	2.69348	-0.704978
-0.24808	-0.531607	1.91203
0.189084	-0.733978	3.92753
0.648705	-4.5744	-3.82806
2.14081	-0.159384	7.70659
2.36303	-0.370935	5.50259
-0.0553979	-0.127054	-1.99519
-4.57312	-2.111	10.8918
-1.37374	-0.201137	1.43958
-7.80628	0.688244	-6.21194
-0.911997	1.68564	-5.68567
6.21353	-1.908	-4.66386
-0.44919	0.440879	1.89838
-0	0	-0
-0.262769	0.746087	9.96867
-9.2373	0.818722	3.74191
4.98401	10.4446	7.87845
7.86625	1.06028	-0.998955
-15.2146	-0.826106	-18.5427
2.32204	2.1998	2.40187
-3.46452	-1.72431	-1.01188
0.936765	0.756044	-1.59714
-4.31408	3.69101	1.9404
1.21521	-1.57651	0.194654
0.325546	-1.26421	-5.85626
-2.34892	1.00463	5.42893
-1.15129	-7.36005	2.9162
-1.04928	1.62457	-0.509699
-2.09725	-1.41723	3.09726
-0.46791	1.61272	5.76023
0.437234	7.45191	-9.39563
-3.58676	9.51969	-6.3648
2.41208	1.35126	7.50706
0	-0	0
-1.162	-3.51959	-13.5005
2.70405	2.71119	-4.61926
-0.23902	0.921421	1.75894
-1.70425	17.8788	-1.20109
-0	0	0
-1.58526	1.21522	-0.100977
3.78778	3.78785	-8.44422
0.73666	-6.03669	7.93824
-7.82012	5.3149	3.25539
0	-0	0
0.387125	0.111089	3.97967
-1.41923	-3.62395	-0.923481
0.476072	-1.46128	-3.69297
-3.67289	-15.42	2.17595
0	0	0
1.13513	1.22461	-3.63481
3.3828	-1.17941	-1.77922
1.75946	0.0272129	19.9224
1.26926	2.1807	-9.67644
-0.19059	-4.12699	-4.35105
-0.39802	-1.85864	-0.622133
3.39163	1.9871	0.740461
-0.82718	-3.41904	7.18512
-14.4932	8.0495	11.1872
3.65568	-3.5071	-15.1768
12.4896	-14.878	4.75952
12.2675	-1.66566	-10.1357
-4.34615	-4.01148	1.00948
-1.64799	-7.18413	-9.46955
7.91345	-13.6218	-18.1059
-8.22452	-10.5928	-4.01865
1.48026	-0.868849	3.61302
5.35518	-1.00878	-2.51086
-0.938032	-0.594778	1.66323
-10.003	-7.50111	9.98362
-2.10158	1.76475	2.91016
-5.48896	5.7473	0.916452
1.0342	0.90357	-1.45396
0.609895	-0.307639	1.87973
-0.020332	0.00766318	5.99996
-8.72165	4.76479	-1.10887
0.0573901	-0.426168	3.97682
0	-0	-0
1.39649	2.32315	2.94156
-1.62012	-7.51488	-2.21399
2.94629	-7.06085	6.43924
0	-0	-0
1.70141	-3.75797	-4.35693
1.77642	0.111291	-0.912118
0.396791	-5.20083	2.96545
3.53102	-7.1692	-0.366666
1.2319	0.699805	-7.87354
0.118125	0.981753	-1.73845
-4.53552	-0.697926	19.4664
0.244137	-0.175316	-1.97729
-6.55467	-6.50973	7.65896
-0.382426	-1.35494	11.9171
0.507462	0.269731	1.91565
0	-0	-0
-0.530953	-0.487691	5.95653
0.494465	-1.47553	-1.25631
-8.66141	-5.88732	5.85829
-0	0	-0
0.685245	-1.83959	-0.382569
0.00539412	0.0206672	-1.99989
0	-0	0
-2.64115	5.61186	7.8442
0.40559	1.59282	1.13949
