Gen:	L_2
929	70.5548
930	70.5548
931	70.5548
932	70.5548
933	70.5548
934	70.5548
935	70.5548
936	70.5548
937	70.5548
938	70.5548
939	70.5548
940	70.5548
941	70.5548
942	70.5548
943	70.5548
944	70.5548
945	70.5548
946	70.5548
947	70.5548
948	70.5548
949	70.5548
950	70.5548
951	70.5548
952	70.5548
953	70.5548
954	70.5548
955	70.5548
956	70.5548
957	70.5548
958	70.5548
959	70.5548
960	70.5548
961	70.5548
962	70.5548
963	70.5548
964	70.5548
965	70.5548
966	70.5548
967	70.5548
968	70.5548
969	70.5548
970	70.5548
971	70.5548
972	70.5548
973	70.5548
974	70.5548
975	70.5548
976	70.5548
977	70.5548
978	70.5548
979	70.5548
980	70.5548
981	70.5548
982	70.5548
983	70.5548
984	70.5548
985	70.5548
986	70.5548
987	70.5548
988	70.5548
989	70.5548
990	70.5548
991	70.5548
992	70.5548
993	70.5548
994	70.5548
995	70.5548
996	70.5548
997	70.5548
998	70.5548
999	70.5548
1000	70.5548
1001	70.5548
1002	70.5548
1003	70.5548
1004	70.5548
1005	70.5548
1006	70.5548
1007	70.5548
1008	70.5548
1009	70.5548
1010	70.5548
1011	70.5548
1012	70.5548
1013	70.5548
1014	70.5548
1015	70.5548
1016	70.5548
1017	70.5548
1018	70.5548
1019	70.5548
1020	70.5548
1021	70.5548
1022	70.5548
1023	70.5548
1024	70.5548
1025	70.5548
1026	70.5548
1027	70.5548
1028	70.5548
1029	70.5548
1030	70.5548
1031	70.5548
1032	70.5548
1033	70.5548
1034	70.5548
1035	70.5548
1036	70.5548
1037	70.5548
1038	70.5548
1039	70.5548
1040	70.5548
1041	70.5548
1042	70.5548
1043	70.5548
1044	70.5548
1045	70.5548
1046	70.5548
1047	70.5548
1048	70.5548
1049	70.5548
1050	70.5548
1051	70.5548
1052	70.5548
1053	70.5548
1054	70.5548
1055	70.5548
1056	70.5548
1057	70.5548
1058	70.5548
1059	70.5548
1060	70.5548
1061	70.5548
1062	70.5548
1063	70.5548
1064	70.5548
1065	70.5548
1066	70.5548
1067	70.5548
1068	70.5548
1069	70.5548
1070	70.5548
1071	70.5548
1072	70.5548
1073	70.5548
1074	70.5548
1075	70.5548
1076	70.5548
1077	70.5548
1078	70.5548
1079	70.5548
1080	70.5548
1081	70.5548
1082	70.5548
1083	70.5548
1084	70.5548
1085	70.5548
1086	70.5548
1087	70.5548
1088	70.5548
1089	70.5548
1090	70.5548
1091	70.5548
1092	70.5548
1093	70.5548
1094	70.5548
1095	70.5548
1096	70.5548
1097	70.5548
1098	70.5548
1099	70.5548
1100	70.5548
