Gen:	<L_2>
1120	71.2823
1121	71.2031
1122	71.1975
1123	71.4627
1124	71.3057
1125	71.2497
1126	71.4179
1127	71.4713
1128	71.2026
1129	70.9665
1130	71.1806
1131	71.2556
1132	71.2149
1133	70.9729
1134	70.9504
1135	70.9437
1136	70.4598
1137	70.9415
1138	70.6046
1139	70.5236
1140	70.8098
1141	70.8424
1142	70.8661
1143	70.7419
1144	70.5935
1145	70.7041
1146	70.7359
1147	70.8232
1148	70.3783
1149	70.3858
1150	70.5388
1151	70.6033
1152	70.5584
1153	70.7641
1154	70.6084
1155	70.7396
1156	70.5022
1157	70.6445
1158	70.611
1159	70.7383
1160	70.8371
1161	70.7316
1162	70.9967
1163	71.0949
1164	70.7994
1165	70.7723
1166	70.5441
1167	71.0413
1168	70.5347
1169	70.6396
1170	70.6791
1171	70.2614
1172	70.3608
1173	70.4739
1174	70.6834
1175	70.6844
1176	70.8978
1177	70.5459
1178	70.659
1179	70.8368
1180	70.6986
1181	70.5137
1182	70.5266
1183	70.8381
1184	70.8324
1185	70.4862
1186	70.6288
1187	70.7588
1188	70.6133
1189	70.8325
1190	70.8878
1191	70.6684
1192	70.761
1193	70.512
1194	70.6004
1195	70.7308
1196	70.9828
1197	70.916
1198	70.8265
1199	70.6021
1200	70.6146
1201	70.3455
1202	70.6748
1203	70.7936
1204	70.6367
1205	70.58
1206	70.4618
1207	70.3384
1208	70.6403
1209	70.8056
1210	70.5452
1211	70.7976
1212	70.8452
1213	70.5497
1214	70.5881
1215	70.6746
1216	70.6915
1217	70.6485
1218	70.4971
1219	70.5733
1220	70.6618
1221	70.6752
1222	70.373
1223	70.3432
1224	70.4097
1225	70.341
1226	70.6707
1227	70.4752
1228	70.5328
1229	71.5212
1230	73.6098
1231	73.0049
1232	71.8446
1233	70.9726
1234	70.6723
1235	70.4333
1236	70.4721
1237	70.3966
1238	70.5175
1239	70.7772
1240	70.5307
1241	70.321
1242	70.6205
1243	70.8036
1244	70.533
1245	70.4638
1246	70.9353
1247	70.6986
1248	70.6107
